name,Descripción,Área,Web,Última Actualización,Fuente de datos,gx_media_links,geometry
Peyote,"""Música y teatro para la vida, para crear y dar paz al planeta, a la ciudad, a ti. Desde Medellín un proyecto de vida y lleno de vida."" Ver más: http://goo.gl/kpDHk0",Músicas,https://www.facebook.com/peyotemusica,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xaf1/v/t1.0-1/p160x160/10561783_738376959555252_5196141260282311873_n.jpg?oh=729fffe7e7e64879c5c0f45a34d26567&oe=54E0A25F&__gda__=1420503779_48b6cdd3ea760e5d5feb30810a1ba882,"<Point><coordinates>-75.597316,6.261794,0.0</coordinates></Point>"
Kamy Botero,"""Cantante reconocida en el medio por su capacidad vocal, ganadora de varios festivales como el second English music festival (2011) y el festival de la canción comuna 12 - 2013."" Ver más: http://goo.gl/H8QxyG",Músicas,http://goo.gl/ATXsJp,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,http://photos-c.ak.fbcdn.net/hphotos-ak-ash3/t1.0-0/q71/c0.0.960.562/s480x480/1239714_293362084146382_275127731_n.jpg,"<Point><coordinates>-75.599907,6.263302,0.0</coordinates></Point>"
Pulpomán,Pulpomán es un monstruo marino que narra sus aventuras y las intercala con sus propias canciones. Ver más: http://goo.gl/G2pouj,Músicas,https://www.facebook.com/pulpomancito,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,http://corporaciontecoc.org/site/sites/default/files/field/image/Pulpom%C3%A1n.png,"<Point><coordinates>-75.605807,6.262916,0.0</coordinates></Point>"
Grupo Nostalgys,"""El de los grandes artistas de música romántica de los 60,70,80,90s todo en vivo no pistas, no secuencias"" Ver más: http://goo.gl/B1OOPR",Músicas,https://www.facebook.com/GRUPNOSTALGYS,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,http://i.ytimg.com/vi/_2qPdCmWNkc/mqdefault.jpg,"<Point><coordinates>-75.611548,6.249633,0.0</coordinates></Point>"
Soystaccato - Pedro Pablo Arias,"Vocalista, compositor y baterista de alto reconocimiento en la ciudad de Medellín.  Ver más: http://goo.gl/yhxLhT",Músicas,http://www.pedropabloarias.com/,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xfa1/t1.0-1/c0.0.80.80/p80x80/10177948_1403275756620491_5173292612233807796_n.png,"<Point><coordinates>-75.603157,6.257722,0.0</coordinates></Point>"
Del Llano a la Loma,"""Agrupación coreomusical con una trayectoria de más de 20 años de proyectar y rendir homenaje a la música y a la danza del folclor llanero, sus integrantes son músicos y bailarines egresados de la Escuela Popular de Arte y de diferentes entidades que trabajan por el fortalecimiento del arte en Colombia."" Ver más: http://goo.gl/L5m8LX",Músicas,,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://lh4.googleusercontent.com/-LBWQRSqX85Y/VFzqpU5gjPI/AAAAAAAADrI/1P9wObq45kA/w345-h151-no/llanoalaloma-logo.jpg,"<Point><coordinates>-75.598748,6.262329,0.0</coordinates></Point>"
Black Fairy,"""Black Fairy es una banda de Hard Rock conformada en el 2011 por cuatro músicos de Medellín que buscan hacer de su arte una revolución musical, llevando al mundo lo que piensan y sienten a través del Rock and Roll.""",Músicas,https://www.facebook.com/blackfairyband,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://fbcdn-profile-a.akamaihd.net/hprofile-ak-xap1/v/t1.0-1/p160x160/10501755_670396316369901_7529979052032052473_n.jpg?oh=973f73aa8eada96ffd36a424ff70b4ab&amp;oe=54AFC9F3&amp;__gda__=1422242806_9161b28f93cac8829ab1c811d24b0970,"<Point><coordinates>-75.603236,6.243196,0.0</coordinates></Point>"
Edo B y su banda,"Propuesta musical genero Rock-pop con fusiones originalidad en lÃricas y mÃºsica, una puesta en escena interesante y contenido constructivo. Formato solista con banda.",Músicas,https://www.facebook.com/Edobmusic,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://lh4.googleusercontent.com/-gVtnPo7QIig/VAkcDzd4LNI/AAAAAAAABf8/EplXpofpnms/w489-h331-no/1017178_551521134909314_1841599732_n.jpg,"<Point><coordinates>-75.571985,6.309991,0.0</coordinates></Point>"
Katalexia,"La banda este año cumple 8 años en el movimiento musical de la ciudad, haciendo parte de esta red y estado en festivales como el Rock Comuna 6, toke de salida entre otros. compartiendo tarima con artistas de varios tipos y mostrando su punto de vista frente a diferentes temas, creciendo y mostrando su estilo musical.",Músicas,https://www.facebook.com/katalexiaoficial,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,http://i.ytimg.com/vi/P7ko0H00dk0/hqdefault.jpg,"<Point><coordinates>-75.574453,6.299542,0.0</coordinates></Point>"
Grupo Musical Pasajeros,"Nace en el año 1991 como un proyecto de creación musical a partir de las vivencias cotidianas del acontecer político y cultural del país, en especial de la situación urbana en medio del conflicto, como un aporte a la defensa de los Derechos Humanos y a la memoria histórica del país. Promueven el concepto de la Canción Propuesta, enmarcada dentro del género de la Canción Social, que se encuentra plasmada en cinco trabajos discográficos y con la cual han recorrido varias ciudades del país y de países europeos.""",Músicas,http://grupomusicalpasajeros.org,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://lh4.googleusercontent.com/-XqvVnC3MQyY/VAk2OkvmWkI/AAAAAAAABk8/ccIb76dU9SE/w384-h255-no/pasajeros.jpg,"<Point><coordinates>-75.607874,6.231775,0.0</coordinates></Point>"
Radio Neblina,"Emisora virtual comunitaria del corregimiento de Santa Elena, generadora de contenidos radiofónicos locales para divulgar. Dichos contenidos, podcasts, promos, cabezotes de identificación, jingles, tutoriales, entrevistas, reportajes y paisajes sonoros, se enfocan en generar entretenimiento y territorialización haciendo uso de todo el potencial artístico, ambiental, turístico, político y cultural del corregimiento. También asesoramos y producimos vía internet a nivel global.",Músicas,http://radioneblina.blogspot.com/,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://lh3.googleusercontent.com/-2HD9tC46Vm0/VAk3vLSbYOI/AAAAAAAABlM/RTTifGtrNvo/w480-h168-no/radioneblina.jpg,"<Point><coordinates>-75.516771,6.207024,0.0</coordinates></Point>"
Banda Plena,"""Banda Plena es la agrupación del merengue y la bachata de la ciudad, que alegra la fiesta con los dos géneros más bailables de la música tropical, conformada por 13 integrantes y una serie de canciones inéditas que han sido la sensación de todas las fiestas.""",Músicas,www.bandaplena.com,10/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,http://www.bandaplena.com/wp-content/uploads/2014/02/BANDA-PLENA-logo.jpg,"<Point><coordinates>-75.625108,6.250918,0.0</coordinates></Point>"
Grupo musical dulce Armonía internacional,"""Grupo musical conformado hace aprox. 20 años para la interpretación de música colombiana, polular, lírica, boleros, baladas y música instrumental de cámara y amenización de eventos religiosos, matrimonios, recepciones, grados, cumpleaños y eventos empresariales.""",Músicas,http://www.myspace.com/dulcearmoniainternac,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,https://a3-images.myspacecdn.com/images03/1/18358de7343247fbbf7b826dcc7145f2/300x300.jpg,"<Point><coordinates>-75.567222,6.231667,0.0</coordinates></Point>"
Grupo Musical Matices,"""Conjunto musical de jóvenes artistas de la ciudad que interpretan diferentes géneros (fusión), han sido reconocidos en el género del Bolero. Ver más: http://goo.gl/6qU4Jn""",Músicas,http://www.grupomatices.com.co/,9/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en: http://goo.gl/forms/RhyqT8w9Vz,http://www.grupomatices.com.co/templates/vt_music/css/styles/vt_logo_style1.png,"<Point><coordinates>-75.602919,6.251611,0.0</coordinates></Point>"
Xendra,"""Xendra
 Agrupación de Rock de Medellín fundada en el año 2001""",Músicas,,12/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en:http://goo.gl/PF5biy,,"<Point><coordinates>-75.6002823,6.2643401,0.0</coordinates></Point>"
Magdalena Solo Project,"""Pensamientos de una mente rota""",Músicas,www.soundcloud.com/magdalena,12/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en:http://goo.gl/PF5biy,,"<Point><coordinates>-75.57618059,6.2581167,0.0</coordinates></Point>"
Grupo Suramérica,"""Desde su nacimiento el Grupo Suramérica ha considerado la música
 como una actividad formadora, lúdica y propositiva, a través de la cual
 los seres humanos pueden expresar sus más profundos deseos y
 contradicciones. El oficio de la Agrupación es entonces cantarle a la
 vida y propiciar espacios para la convivencia pacífica.
 Como institución cultural Suramérica brinda la posibilidad de un
 intercambio fraterno en los espacios de ensayos y conciertos,
 frecuentados por niños, jóvenes y adultos, generando actitudes
 favorables frente al valor de la vida.
 Como grupo musical, Suramérica está conformado por 9 integrantes,
 que además de ser cómplices en la música, desarrollan
 profesionalmente otras actividades, lo que les permite constituirse
 como grupo en proyecto de vida, donde la tolerancia y la solidaridad
 iluminan la vida cotidiana.
 Finalmente, su canción se levanta como una voz que genera
 inquietudes, alegra la vida y se convierte en esperanza.
 37 años de historia
 Más de 3.000 conciertos en más de 150 poblaciones, 21 producciones
 discográficas y un sueño contado a más de un millón de personas.
 Esta es nuestra historia, una historia que le pertenece a nuestro
 público.""",Músicas,,12/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en:http://goo.gl/PF5biy,,"<Point><coordinates>-75.57970339,6.2424412,0.0</coordinates></Point>"
Malembe & Son,"""Presentamos un espectáculo musical el cual está conformado por canto, animación y músicos en vivo: saxofón, guitarra, bajo, congas, piano, batería, bombo. Somos 3 Cantantes en escena interpretando canciones de nuestra propia autoría con show y expresión corporal que dan al acto un toque de alegría, la animación es interactuar con el público dando a ellos un gran protagonismo Malembe & Son: ha sido catalogado como uno de los mejores show musical de jóvenes de la ciudad de Medellín.
 
 TRAYECTORIA
 Nace en el momento en que 3 jóvenes con ritmos y propuestas diferentes, muy definidos deciden crear una agrupación y fusionar sus fuertes musicales, dando así inicio a la creación de Malembe & Son. Han venido trabajando en el ambiente musical de forma continua participando en diferentes escenarios en los cuales el grupo ha obtenido triunfos frente a agrupaciones de gran reconocimiento en la ciudad. 
 
 
 Este espectáculo se ha presentado en conciertos y tablados en la ciudad como:
 
 Ø La Matraca - Pablo Tobón Uribe 2014
 Ø Foro Urbano Mundial 2014
 Ø Foro de la Afrocolombianidad 2014 (Hotel Dan Carlton)
 Ø Carnaval de la Comuna 8 2014
 Ø Lanzamiento de la Revista Afrovida 2014
 Ø Sexto aniversario centro de desarrollo cultural de Moravia
 Ø Agenda Cultural 2014
 Ø Ganadores Festival Afro urbano 2014
 Ø Teloneros Más Corazón Profundo Tour Medellín 2014 (Carlos Vives)
 Ø Ganadores del Festival Golondrina de Plata 2014 (Montería)""",Músicas,"Facebook: Malembe & son
twitter: @malembeson
Instagram:malembeson",12/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en:http://goo.gl/PF5biy,,"<Point><coordinates>-75.5555511,6.234227,0.0</coordinates></Point>"
In Your Headlights,"""In Your Headlights no es una banda con letras profundas, no es un grupo de niños bonitos, no le interesa crear música con sentido social, ni mucho menos transmitir un mensaje de amor, tampoco es una banda de músicos prodigiosos pero hace música de corazón.
 
 In Your Headlights es una banda para pasarla bien, su sonido y estilo te mueven a bailar, llena tu espíritu de fiesta, te lleva a olvidarte de los compromisos y salir de la rutina. In Your Headlights es la banda que quieres encontrar en tu camino llevar en tu reproductor de música y no dejar de escuchar. 
 
 Ha realizado tres grabaciones, en los años 2006 (EP Opaque), 2010 (EP Radiography) y 2014 (EP La Mila), los dos primeros EP fueron grabados en estudio 128 Tracks y Nativo Records, el ultimo EP fue grabados por medios propios en sala de ensayo de IYH pueden ser ecuchados en el band profile de Facebook (https://www.facebook.com/pages/In-Your-Headlights/134410986596207?fref=ts) ó en Soundcloud (https://soundcloud.com/in-your-headlights).""",Músicas,"https://www.facebook.com/pages/In-Your-Headlights/134410986596207?fref=ts

https://soundcloud.com/in-your-headlights",12/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en:http://goo.gl/PF5biy,,"<Point><coordinates>-75.55550690,6.2339258,0.0</coordinates></Point>"
Blessed 2 Bless,"""Grupo musical de hip hop fusión, compuesto por 10 personas, desde el año 2006.
 Nuestras letras son mensajes de paz, amor, esperanza, inclusión social y valores.""",Músicas,,12/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en:http://goo.gl/PF5biy,,"<Point><coordinates>-75.56736519,6.1978654,0.0</coordinates></Point>"
NICOLAS BARRERA CATAÑO,"""Músico de gran trayectoria en la ciudad de medellín con experiencia en géneros folcloricos y comerciales ejecutante de instrumentos de cuerdas y cantante prefesional ha sido integrante de grandes agrupaciones folcloricas como NUESTRAMERICA, GRUPO TIERRA BRAVA, GRUPO ILLARY, actualmente con CUARTETO ENTRECUERDAS con quien realizo giras por el sur del continente con gran acogida. Actualmente desarrolla su carrera como solista cantando en diferentes bares de la ciudad y municipios del departamento y el pais atendiendo compromisos privados como fiestas familiares matrimonios fiestas empresariales y todo aquello donde sean requeridos sus servicios como cantante""",Músicas,"facebok nicolas barrera cataño

twitter @ nicolasbarrerac

instagram  nicolasbarreracatano",12/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en:http://goo.gl/PF5biy,,"<Point><coordinates>-75.5651298,6.2527574,0.0</coordinates></Point>"
Tatiana Florez,"""He cantado en algunos festivales de la canción 
 en concursos universitarios de la canción 
 toco saxofón alto "" Lo básico""""",Músicas,,12/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en:http://goo.gl/PF5biy,,"<Point><coordinates>-75.5757643,6.237982,0.0</coordinates></Point>"
Elaxuz Project,"""Somos una agrupación musical con tendencias escenicas que hemos trabajado con la comunidad por mas de 8 años en la musica del genero Rock, durante el trabajo de la agrupacion se ha trabajado en un Demo y posteriomente en un Album llamado un Secreto al Pensar, Ademas se cuenta con un films en full Hd de una de nuestras canciones, Durante las actividades que realizamos es entregarle a la cultura un poco de nuestro aporte escenico con todas las comunidades colombianas con grandes posibilidad de internacionalizacion del arte sonoro en Medellín. Realizamos conciertos, festivales, fiestas privadas, acompañamiento social.""",Músicas,,12/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en:http://goo.gl/PF5biy,,"<Point><coordinates>-75.5385344,6.28685129,0.0</coordinates></Point>"
Pedro Ramírez,"""Docente universitario, bajista profesional e intérprete de música colombiana, Jazz, Blues, Pop, Rock y música latina. Con amplia experiencia en la enseñanza y la ejecución del bajo eléctrico. Con capacidad para crear música inédita, dirigir grupos, hacer arreglos y ensambles instrumentales, dar clases de solfeo, rítmica, armonía, guitarra e iniciación musical, teniendo como base la formación artística, académica universitaria y experiencia profesional adquiridas a través de giras nacionales e internacionales realizadas con diversos grupos musicales""",Músicas,,12/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en:http://goo.gl/PF5biy,,"<Point><coordinates>-75.61304419,6.2544062,0.0</coordinates></Point>"
LOS PAISAS DE ORO,"""mi grupo fue fundado en el año 2.000 aqui en medellin hago parte del consejo de musica del municipio de medellin estamos conformados por 7 elementos con los instrumentos guitarra electro acustica, reqinto, bajo electrico,organeta,, bateria ,bongo , guacharaca somos empiricos esperansados en abanzar nuestra esperiencia musical sacarla de lo informal a lo formal ,muchas grasia""",Músicas,FACEBOOK: javierdejesuszapata     TWITTER:  @javierdejesuszapata.,12/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en:http://goo.gl/PF5biy,,"<Point><coordinates>-75.5533920,6.289559,0.0</coordinates></Point>"
LOS TIGRILLOS DEL SUR,"""EL GRUPO FUE CONSTITUIDO EN EL AÑO 2001 AQUI EN MEDELLIN ESTA CONFORMADO POR 5 ELEMENTOS QUE EJECUTAN LOS SIGUIENTES INSTRUMENTOS GUITARRA ELECTROACUSTICA, REQUINTO ,ORGANETA,GUACHARACA, ,BAJO ELECTRICO SOMOS EMPIRICOS CON DESEOS DE SALIRNOS DE LO INFORMAL A LO NORMAL MUCHAS GRASIAS""",Músicas,EN PROCESO,12/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en:http://goo.gl/PF5biy,,"<Point><coordinates>-75.61304419,6.2544062,0.0</coordinates></Point>"
Esteban Gira,"""Esteban Gira es un artista en exploración y riesgo constante. En sus viajes por 
 
 diferentes escenarios, países y géneros, ha llegado a una estética propia la cual él 
 
 llama “Animal Eléctrico”. Se trata de poesía salvaje coexistiendo con la fuerza de los 
 
 sintetizadores, en un estilo sonoro indi-electro en formato canción. Esteban Gira 
 
 propone una puesta en escena profunda, no convencional y llena de energía.""",Músicas,,12/1/2014,Formulario para el Mapeo de Actores Culturales. Casas de la Cultura de Medellín. Disponible en:http://goo.gl/PF5biy,,"<Point><coordinates>-75.5998528,6.251632172,0.0</coordinates></Point>"
